Name,Position,Height,Weight,Hometown
Wyatt Holmes,OL,6' 1",295 lbs,"Coweta, OK"
Kason Shrum,K,5' 11",165 lbs,"Broken Arrow, OK"
Chauncey Johnson,OL,6' 5",290 lbs,"Lonoke, AR"
Jake Springfield,OL,6' 6",320 lbs,"Flower Mound, TX"
Jamison Mejia,OL,6' 4",295 lbs,"Broken Arrow, OK"
Caleb Hackleman,OL,6' 6",285 lbs,"Texarkana, TX"
Jarrett Henry,OL,6' 5",315 lbs,"Palestine, TX"
Hilton Marsh,OL,6' 1",270 lbs,"Keller, TX"
Joe Michalski,OL,6' 5",305 lbs,"Kansas City, KS"
Cole Birmingham,OL,6' 5",325 lbs,"Katy, TX"
Jaelen Tucker,NT,6' 0",270 lbs,"Oklahoma City, OK"
Taylor Miterko,OL,6' 6",295 lbs,"Carlsbad, NM"
Nuku Mafi,OL,6' 5",320 lbs,"Rose Park, UT"
Jack Endean,OL,6' 5",310 lbs,"Tucson, AZ"
Dalton Cooper,OL,6' 7",315 lbs,"Prague, OK"
Aden Kelley,NT,6' 3",315 lbs,"Thomas, OK"
Isaia Glass,OL,6' 4",305 lbs,"San Tan Valley, AZ"
Preston Wilson,OL,6' 4",295 lbs,"Argyle, TX"
Jakobe Sanders,OL,6' 2",325 lbs,"Stillwater, OK"
Calvin Harvey,OL,6' 9",345 lbs,"Houston, TX"
Noah McKinney,OL,6' 5",320 lbs,"Frisco, TX"
Davis Dotson,OL,6' 6",305 lbs,"Tulsa, OK"
David Arriaga,K,6' 2",200 lbs,"Stratford, OK"
Gage Stanaland,OL,6' 4",300 lbs,"Tuscola, TX"
Brennan Presley,WR,5' 8",175 lbs,"Tulsa, OK"
Joe Bisso,TE,6' 3",220 lbs,"Tomball, TX"
Camron Heard,WR,6' 0",170 lbs,"Houston, TX"
Quinton Stewart,TE,6' 3",250 lbs,"Salina, KS"
Cale Cabbiness,WR,6' 2",205 lbs,"Norman, OK"
Mason Gilkey,WR,6' 3",175 lbs,"Pawhuska, OK"
Tykie Andrews,WR,5' 11",200 lbs,"Enid, OK"
Tyler Foster,TE,6' 6",255 lbs,"Pickerington, OH"
DeSean Brown,DE,6' 2",265 lbs,"Oklahoma City, OK"
Cutter Greene,WR,6' 1",190 lbs,"Perkins, OK"
Landon Dean,DE,6' 5",275 lbs,"Frontenac, KS"
Heston Thompson,WR,5' 11",180 lbs,"Stillwater, OK"
Marcus Dockins Jr.,WR,6' 1",180 lbs,"Moore, OK"
Wes Pahl,P,6' 5",205 lbs,"Columbus, GA"
AJ Ridener,NT,6' 1",320 lbs,"Jenks, OK"
Jaedon Foreman-Felix,DE,6' 2",305 lbs,"Del City, OK"
Collin Clay,NT,6' 4",330 lbs,"Oklahoma City, OK"
Armstrong Nnodim,DE,6' 2",270 lbs,"Mesquite, TX"
Jaleel Johnson,DE,6' 5",260 lbs,"Oklahoma City, OK"
Kody Walterscheid,DE,6' 7",275 lbs,"Muenster, TX"
Justin Kirkland,NT,6' 3",345 lbs,"West Haven, UT"
Luke Webb,NT,6' 4",290 lbs,"Deer Park, TX"
Iman Oates,NT,6' 3",305 lbs,"Tulsa, OK"
